policy_id,date,party,votes_for,votes_against,abstentions,no_votes,majority_vote_count,majority_col,total_votes,percent_dissenters
152666,2023-02-13 17:16:09,Progressive Alliance of Socialists and Democrats,88,0,0,56,88,votes_for,88,0.0
152666,2023-02-13 17:16:09,Renew Europe,62,0,1,39,62,votes_for,63,1.5873015873015872
152666,2023-02-13 17:16:09,Greens/European Free Alliance,51,0,0,20,51,votes_for,51,0.0
152666,2023-02-13 17:16:09,The Left in the European Parliament – GUE/NGL,21,0,0,17,21,votes_for,21,0.0
152669,2023-02-13 17:23:55,The Left in the European Parliament – GUE/NGL,1,23,0,14,23,votes_against,24,4.166666666666666
152669,2023-02-13 17:23:55,Greens/European Free Alliance,0,52,0,19,52,votes_against,52,0.0
152669,2023-02-13 17:23:55,Progressive Alliance of Socialists and Democrats,4,84,0,56,84,votes_against,88,4.545454545454546
152669,2023-02-13 17:23:55,Renew Europe,0,64,0,38,64,votes_against,64,0.0
152669,2023-02-13 17:23:55,European People’s Party,89,1,0,86,89,votes_for,90,1.1111111111111112
152653,2023-02-14 12:18:10,European Conservatives and Reformists,57,1,0,5,57,votes_for,58,1.7241379310344827
152653,2023-02-14 12:18:10,Greens/European Free Alliance,2,0,65,4,65,abstentions,67,2.9850746268656714
152653,2023-02-14 12:18:10,Non-attached Members,33,4,2,8,33,votes_for,39,15.384615384615385
152653,2023-02-14 12:18:10,Progressive Alliance of Socialists and Democrats,136,0,0,8,136,votes_for,136,0.0
152653,2023-02-14 12:18:10,European People’s Party,161,0,0,15,161,votes_for,161,0.0
152653,2023-02-14 12:18:10,The Left in the European Parliament – GUE/NGL,29,0,4,5,29,votes_for,33,12.121212121212121
152653,2023-02-14 12:18:10,Renew Europe,96,0,0,6,96,votes_for,96,0.0
152653,2023-02-14 12:18:10,Identity and Democracy,41,8,10,5,41,votes_for,59,30.508474576271187
152568,2023-02-15 15:14:14,Greens/European Free Alliance,68,0,0,3,68,votes_for,68,0.0
152568,2023-02-15 15:14:14,Progressive Alliance of Socialists and Democrats,131,0,0,13,131,votes_for,131,0.0
152568,2023-02-15 15:14:14,Renew Europe,94,0,0,8,94,votes_for,94,0.0
152568,2023-02-15 15:14:14,European Conservatives and Reformists,55,0,2,7,55,votes_for,57,3.508771929824561
152568,2023-02-15 15:14:14,Identity and Democracy,42,0,16,6,42,votes_for,58,27.586206896551722
152568,2023-02-15 15:14:14,The Left in the European Parliament – GUE/NGL,34,0,0,4,34,votes_for,34,0.0
152568,2023-02-15 15:14:14,European People’s Party,162,0,0,14,162,votes_for,162,0.0
152568,2023-02-15 15:14:14,Non-attached Members,27,3,2,14,27,votes_for,32,15.625
152766,2023-02-15 15:15:49,European People’s Party,162,0,0,14,162,votes_for,162,0.0
152766,2023-02-15 15:15:49,Identity and Democracy,26,6,25,7,26,votes_for,57,54.385964912280706
152766,2023-02-15 15:15:49,Non-attached Members,2,4,26,14,26,abstentions,32,18.75
152766,2023-02-15 15:15:49,The Left in the European Parliament – GUE/NGL,0,12,21,5,21,abstentions,33,36.36363636363637
152766,2023-02-15 15:15:49,Renew Europe,94,0,0,8,94,votes_for,94,0.0
152766,2023-02-15 15:15:49,European Conservatives and Reformists,56,0,1,7,56,votes_for,57,1.7543859649122806
152766,2023-02-15 15:15:49,Greens/European Free Alliance,2,0,66,3,66,abstentions,68,2.941176470588235
152766,2023-02-15 15:15:49,Progressive Alliance of Socialists and Democrats,20,99,12,13,99,votes_against,131,24.427480916030532
152762,2023-02-15 15:22:15,Non-attached Members,24,6,2,14,24,votes_for,32,25.0
152762,2023-02-15 15:22:15,Renew Europe,94,0,0,8,94,votes_for,94,0.0
152762,2023-02-15 15:22:15,Identity and Democracy,34,7,15,8,34,votes_for,56,39.285714285714285
152762,2023-02-15 15:22:15,The Left in the European Parliament – GUE/NGL,34,0,0,4,34,votes_for,34,0.0
152762,2023-02-15 15:22:15,Progressive Alliance of Socialists and Democrats,131,0,1,12,131,votes_for,132,0.7575757575757576
152762,2023-02-15 15:22:15,European People’s Party,155,1,2,18,155,votes_for,158,1.89873417721519
152762,2023-02-15 15:22:15,Greens/European Free Alliance,64,0,0,7,64,votes_for,64,0.0
152762,2023-02-15 15:22:15,European Conservatives and Reformists,34,8,14,8,34,votes_for,56,39.285714285714285
