<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4576afe9f5a7ed7de37deec7d5c057abf8eaed86060d00208b7fb542a9b9fac1
size 754595
=======
policy_id,date,party,votes_for,votes_against,abstentions,no_votes,majority_vote_count,majority_col,total_votes,percent_dissenters
152666,2023-02-13,Progressive Alliance of Socialists and Democrats,88,0,0,56,88,votes_for,144,38.88888888888889
152666,2023-02-13,European People’s Party,4,81,2,89,89,no_votes,176,49.43181818181818
152669,2023-02-13,The Left in the European Parliament – GUE/NGL,1,23,0,14,23,votes_against,38,39.473684210526315
152669,2023-02-13,Non-attached Members,11,4,0,32,32,no_votes,47,31.914893617021278
152669,2023-02-13,European Conservatives and Reformists,27,0,1,35,35,no_votes,63,44.44444444444444
152669,2023-02-13,Identity and Democracy,29,0,0,35,35,no_votes,64,45.3125
152669,2023-02-13,Greens/European Free Alliance,0,52,0,19,52,votes_against,71,26.76056338028169
152666,2023-02-13,Renew Europe,62,0,1,39,62,votes_for,102,39.21568627450981
152669,2023-02-13,Progressive Alliance of Socialists and Democrats,4,84,0,56,84,votes_against,144,41.66666666666667
152666,2023-02-13,Greens/European Free Alliance,51,0,0,20,51,votes_for,71,28.169014084507044
152666,2023-02-13,Identity and Democracy,3,15,11,35,35,no_votes,64,45.3125
152666,2023-02-13,European Conservatives and Reformists,2,7,19,35,35,no_votes,63,44.44444444444444
152666,2023-02-13,Non-attached Members,3,1,10,33,33,no_votes,47,29.78723404255319
152666,2023-02-13,The Left in the European Parliament – GUE/NGL,21,0,0,17,21,votes_for,38,44.73684210526316
152669,2023-02-13,Renew Europe,0,64,0,38,64,votes_against,102,37.254901960784316
152669,2023-02-13,European People’s Party,89,1,0,86,89,votes_for,176,49.43181818181818
152653,2023-02-14,Renew Europe,96,0,0,6,96,votes_for,102,5.88235294117647
152653,2023-02-14,The Left in the European Parliament – GUE/NGL,29,0,4,5,29,votes_for,38,23.684210526315788
152653,2023-02-14,European People’s Party,161,0,0,15,161,votes_for,176,8.522727272727272
152653,2023-02-14,Identity and Democracy,41,8,10,5,41,votes_for,64,35.9375
152653,2023-02-14,Non-attached Members,33,4,2,8,33,votes_for,47,29.78723404255319
152653,2023-02-14,Greens/European Free Alliance,2,0,65,4,65,abstentions,71,8.450704225352112
152653,2023-02-14,European Conservatives and Reformists,57,1,0,5,57,votes_for,63,9.523809523809524
152653,2023-02-14,Progressive Alliance of Socialists and Democrats,136,0,0,8,136,votes_for,144,5.555555555555555
152762,2023-02-15,Greens/European Free Alliance,64,0,0,7,64,votes_for,71,9.859154929577464
152568,2023-02-15,Greens/European Free Alliance,68,0,0,3,68,votes_for,71,4.225352112676056
152568,2023-02-15,Progressive Alliance of Socialists and Democrats,131,0,0,13,131,votes_for,144,9.027777777777777
152568,2023-02-15,Renew Europe,94,0,0,8,94,votes_for,102,7.8431372549019605
152568,2023-02-15,European Conservatives and Reformists,55,0,2,7,55,votes_for,64,14.0625
152568,2023-02-15,Identity and Democracy,42,0,16,6,42,votes_for,64,34.375
