mepID,forPct,againstPct,abstentionPct,didNotVotePct
840,89.53,3.31,1.95,5.21
1294,82.72,6.17,0.62,10.49
1854,85.52,3.65,1.89,8.94
1892,92.98,4.74,1.75,0.53
1909,79.01,2.06,1.19,17.73
1913,79.07,5.23,1.36,14.34
1917,81.4,7.38,2.28,8.95
1927,82.05,7.21,2.01,8.73
1992,74.26,7.13,2.62,15.99
2054,80.5,7.25,4.28,7.97
2152,65.43,14.2,4.94,15.43
2187,79.31,7.76,6.28,6.65
2268,62.35,20.99,3.09,13.58
2323,86.5,7.79,2.2,3.51
2341,85.14,7.43,1.84,5.59
4246,84.9,2.97,2.56,9.57
4253,78.89,1.43,1.01,18.67
4267,86.23,3.42,1.63,8.73
4289,83.24,8.79,2.71,5.26
4344,91.74,1.84,1.78,4.64
4391,34.73,4.8,3.94,56.53
4395,57.41,9.88,13.58,19.14
4465,59.61,15.15,18.6,6.65
4560,86.98,6.3,4.04,2.68
4746,59.71,15.62,18.6,6.07
5392,81.51,3.74,1.84,12.91
5565,72.29,7.85,11.41,8.44
5729,88.07,3.04,1.57,7.32
5736,40.12,44.44,8.64,6.79
22418,79.63,12.96,0.62,6.79
22858,93.55,2.11,1.52,2.82
23699,46.8,27.55,17.57,8.08
23712,59.39,22.35,16.23,2.02
23768,86.27,2.08,1.37,10.29
23781,78.31,5.31,3.74,12.64
23788,57.7,16.54,13.18,12.58
23816,39.53,14.37,7.38,38.72
23821,50.65,11.69,7.14,30.52
23868,67.84,5.31,5.1,21.75
24505,72.18,12.07,12.07,3.69
24594,81.03,7.61,9.57,1.78
24922,93.6,3.15,2.17,1.08
24942,73.21,12.19,6.23,8.37
25758,27.16,42.59,27.78,2.47
26837,91.27,4.36,2.42,1.94
27714,63.56,20.27,11.53,4.64
28115,65.75,4.11,4.11,26.03
28122,85.09,6.94,2.22,5.75
28141,46.85,14.51,7.55,31.09
28150,52.66,18.49,9.54,19.31
28161,75.56,7.55,4.4,12.49
28219,81.24,8.3,2.11,8.35
28223,83.41,7.38,2.87,6.34
28224,68.37,7.02,4.58,20.04
28226,78.74,7.7,1.95,11.61
28229,79.07,6.94,1.74,12.26
28266,94.35,4.04,0.83,0.77
28269,73.78,6.06,2.08,18.07
28288,85.2,6.9,2.68,5.23
28294,89.06,5.11,2.62,3.21
