,party,procedure_type,percent_dissent
0,ECR,RSO,0.0
1,EPP,RSO,0.0
2,GUE/NGL,RSO,0.0
3,Greens/EFA,RSO,0.0
4,ID,RSO,0.0428571428571428
5,Renew,RSO,0.0
6,S&D,RSO,0.0
7,ECR,RSP,0.0
8,EPP,RSP,0.0
9,GUE/NGL,RSP,0.0
10,Greens/EFA,RSP,0.0
11,ID,RSP,0.0
12,Renew,RSP,0.0
13,S&D,RSP,0.0
14,ECR,COD,0.3870967741935484
15,EPP,COD,0.0
16,GUE/NGL,COD,0.3421052631578947
17,Greens/EFA,COD,0.0428571428571428
18,ID,COD,0.0142857142857142
19,Renew,COD,0.0
20,S&D,COD,0.0
21,ECR,COD,0.0634920634920634
22,EPP,COD,0.0734463276836158
23,GUE/NGL,COD,0.0
24,Greens/EFA,COD,0.0
25,ID,COD,0.2112676056338028
26,Renew,COD,0.0612244897959183
27,S&D,COD,0.0
28,ECR,COD,0.4444444444444444
29,EPP,COD,0.0112994350282485
30,GUE/NGL,COD,0.1351351351351351
31,Greens/EFA,COD,0.0
32,ID,COD,0.0
33,Renew,COD,0.0510204081632652
34,S&D,COD,0.0285714285714285
35,ECR,COD,0.0
36,EPP,COD,0.0
37,GUE/NGL,COD,0.0
38,Greens/EFA,COD,0.0
39,ID,COD,0.0563380281690141
40,Renew,COD,0.0
41,S&D,COD,0.0
42,ECR,DEA,0.0
43,EPP,DEA,0.0571428571428571
44,GUE/NGL,DEA,0.1111111111111111
45,Greens/EFA,DEA,0.0
46,ID,DEA,0.0
47,Renew,DEA,0.0816326530612244
48,S&D,DEA,0.4609929078014184
49,ECR,INI,0.0983606557377049
50,EPP,INI,0.0
51,GUE/NGL,INI,0.3783783783783784
52,Greens/EFA,INI,0.0434782608695651
53,ID,INI,0.4571428571428572
54,Renew,INI,0.0
55,S&D,INI,0.0215827338129496
56,ECR,NLE,0.2419354838709677
57,EPP,NLE,0.0114285714285714
58,GUE/NGL,NLE,0.5135135135135135
59,Greens/EFA,NLE,0.0
60,ID,NLE,0.0142857142857142
61,Renew,NLE,0.2551020408163265
62,S&D,NLE,0.0
63,ECR,INI,0.2903225806451612
64,EPP,INI,0.0514285714285713
65,GUE/NGL,INI,0.054054054054054
66,Greens/EFA,INI,0.0
67,ID,INI,0.2714285714285714
68,Renew,INI,0.1530612244897958
69,S&D,INI,0.0070921985815602
70,ECR,COD,0.1428571428571429
71,EPP,COD,0.0
72,GUE/NGL,COD,0.081081081081081
73,Greens/EFA,COD,0.0571428571428571
74,ID,COD,0.0
75,Renew,COD,0.0204081632653061
76,S&D,COD,0.0
77,ECR,COD,0.2222222222222222
78,EPP,COD,0.0056497175141242
79,GUE/NGL,COD,0.1621621621621621
80,Greens/EFA,COD,0.0
81,ID,COD,0.0140845070422535
82,Renew,COD,0.0
83,S&D,COD,0.0069930069930069
84,ECR,INL,0.3015873015873016
85,EPP,INL,0.5
86,GUE/NGL,INL,0.0555555555555555
87,Greens/EFA,INL,0.0
88,ID,INL,0.3571428571428571
89,Renew,INL,0.0510204081632652
90,S&D,INL,0.0071428571428571
91,ECR,RSP,0.0
92,EPP,RSP,0.0
93,GUE/NGL,RSP,0.0526315789473684
94,Greens/EFA,RSP,0.0434782608695651
95,ID,RSP,0.1857142857142857
96,Renew,RSP,0.010204081632653
97,S&D,RSP,0.3191489361702128
98,ECR,RSP,0.1612903225806451
99,EPP,RSP,0.0574712643678161
100,GUE/NGL,RSP,0.0789473684210526
101,Greens/EFA,RSP,0.0
102,ID,RSP,0.4142857142857142
103,Renew,RSP,0.0
104,S&D,RSP,0.0
105,ECR,RSP,0.1774193548387096
106,EPP,RSP,0.6206896551724138
107,GUE/NGL,RSP,0.3157894736842105
108,Greens/EFA,RSP,0.0
109,ID,RSP,0.3571428571428571
110,Renew,RSP,0.0510204081632652
111,S&D,RSP,0.0144927536231883
112,ECR,INI,0.0645161290322581
113,EPP,INI,0.0172413793103448
114,GUE/NGL,INI,0.0
115,Greens/EFA,INI,0.0
116,ID,INI,0.3571428571428571
117,Renew,INI,0.0612244897959183
118,S&D,INI,0.027972027972028
119,ECR,RSP,0.1129032258064516
120,EPP,RSP,0.0057471264367816
121,GUE/NGL,RSP,0.2631578947368421
122,Greens/EFA,RSP,0.0
123,ID,RSP,0.4285714285714286
124,Renew,RSP,0.0
125,S&D,RSP,0.0
126,ECR,RSP,0.081967213114754
127,EPP,RSP,0.1213872832369942
128,GUE/NGL,RSP,0.2105263157894736
129,Greens/EFA,RSP,0.0289855072463768
130,ID,RSP,0.0428571428571428
131,Renew,RSP,0.010204081632653
132,S&D,RSP,0.0139860139860139
133,ECR,INI,0.1129032258064516
134,EPP,INI,0.0520231213872832
135,GUE/NGL,INI,0.0
136,Greens/EFA,INI,0.0
137,ID,INI,0.3285714285714286
138,Renew,INI,0.0510204081632652
139,S&D,INI,0.0
140,ECR,COD,0.1111111111111111
141,EPP,COD,0.0
142,GUE/NGL,COD,0.0
143,Greens/EFA,COD,0.0
144,ID,COD,0.0422535211267606
145,Renew,COD,0.0
146,S&D,COD,0.0
147,ECR,INI,0.1904761904761904
148,EPP,INI,0.086206896551724
149,GUE/NGL,INI,0.0
150,Greens/EFA,INI,0.0
151,ID,INI,0.2753623188405797
152,Renew,INI,0.3061224489795918
153,S&D,INI,0.0
154,ECR,INI,0.1904761904761904
155,EPP,INI,0.04
156,GUE/NGL,INI,0.0512820512820513
157,Greens/EFA,INI,0.0
158,ID,INI,0.144927536231884
159,Renew,INI,0.0
160,S&D,INI,0.0
161,ECR,INI,0.3174603174603174
162,EPP,INI,0.0799999999999999
163,GUE/NGL,INI,0.0526315789473684
164,Greens/EFA,INI,0.0704225352112676
165,ID,INI,0.1884057971014492
166,Renew,INI,0.0510204081632652
167,S&D,INI,0.0
168,ECR,INI,0.2380952380952381
169,EPP,INI,0.0171428571428571
170,GUE/NGL,INI,0.0
171,Greens/EFA,INI,0.0563380281690141
172,ID,INI,0.4347826086956522
173,Renew,INI,0.0
174,S&D,INI,0.0
175,ECR,INI,0.0634920634920634
176,EPP,INI,0.0057142857142856
177,GUE/NGL,INI,0.1538461538461538
178,Greens/EFA,INI,0.0
179,ID,INI,0.1884057971014492
180,Renew,INI,0.0204081632653061
181,S&D,INI,0.0217391304347825
182,ECR,RSP,0.1428571428571429
183,EPP,RSP,0.16
184,GUE/NGL,RSP,0.0
185,Greens/EFA,RSP,0.0140845070422535
186,ID,RSP,0.1884057971014492
187,Renew,RSP,0.2551020408163265
188,S&D,RSP,0.0652173913043477
189,ECR,DEA,0.0793650793650794
190,EPP,DEA,0.1771428571428571
191,GUE/NGL,DEA,0.0512820512820513
192,Greens/EFA,DEA,0.0
193,ID,DEA,0.0869565217391304
194,Renew,DEA,0.0816326530612244
195,S&D,DEA,0.0656934306569343
196,ECR,DEA,0.0
197,EPP,DEA,0.4114285714285715
198,GUE/NGL,DEA,0.0256410256410256
199,Greens/EFA,DEA,0.0
200,ID,DEA,0.072463768115942
201,Renew,DEA,0.2040816326530612
202,S&D,DEA,0.145985401459854
203,ECR,RSO,0.0
204,EPP,RSO,0.0
205,GUE/NGL,RSO,0.0256410256410256
206,Greens/EFA,RSO,0.0
207,ID,RSO,0.0704225352112676
208,Renew,RSO,0.0
209,S&D,RSO,0.0
210,ECR,NLE,0.1111111111111111
211,EPP,NLE,0.0
212,GUE/NGL,NLE,0.282051282051282
213,Greens/EFA,NLE,0.0140845070422535
214,ID,NLE,0.4225352112676056
215,Renew,NLE,0.0
216,S&D,NLE,0.0
217,ECR,INI,0.1904761904761904
218,EPP,INI,0.0172413793103448
219,GUE/NGL,INI,0.1538461538461538
220,Greens/EFA,INI,0.0579710144927536
221,ID,INI,0.4571428571428572
222,Renew,INI,0.0
223,S&D,INI,0.0719424460431654
224,ECR,INI,0.2857142857142857
225,EPP,INI,0.0459770114942529
226,GUE/NGL,INI,0.4102564102564102
227,Greens/EFA,INI,0.0
228,ID,INI,0.3428571428571428
