id,first_name,last_name,party,party_code,agreed,dissented,did_not_vote,total_votes,percent_agree_current,percent_show_up,country,European People’s Party percentage,Renew Europe percentage,Progressive Alliance of Socialists and Democrats percentage,European Conservatives and Reformists percentage,Non-attached Members percentage,Europe of Sovereign Nations percentage,The Left in the European Parliament – GUE/NGL percentage,Greens/European Free Alliance percentage,Patriots for Europe percentage,Identity and Democracy percentage
256810,Mika,Aaltola,European People’s Party,EPP,70,56,36,162,43.20987654320987,77.77777777777779,Finland,43.20987654320987,40.74074074074074,38.2716049382716,30.864197530864196,20.37037037037037,12.345679012345679,23.456790123456788,32.098765432098766,22.22222222222222,0.0
257043,Maravillas,Abadía Jover,European People’s Party,EPP,87,64,11,162,53.70370370370371,93.20987654320987,Spain,53.70370370370371,50.617283950617285,47.53086419753087,38.2716049382716,22.22222222222222,13.580246913580247,30.246913580246915,40.74074074074074,24.074074074074073,0.0
197490,Magdalena,Adamowicz,European People’s Party,EPP,603,1071,170,1844,32.700650759219094,90.78091106290672,Poland,32.700650759219094,31.724511930585685,31.344902386117134,24.620390455531453,24.40347071583514,1.4642082429501084,22.99349240780911,27.928416485900215,2.27765726681128,12.635574837310196
256820,Georgios,Aftias,European People’s Party,EPP,75,60,27,162,46.2962962962963,83.33333333333334,Greece,46.2962962962963,46.2962962962963,47.53086419753087,40.123456790123456,25.308641975308642,15.432098765432098,33.33333333333333,40.74074074074074,26.543209876543212,0.0
256987,Oihane,Agirregoitia Martínez,Renew Europe,RENEW,94,66,2,162,58.0246913580247,98.76543209876543,Spain,56.17283950617284,58.0246913580247,56.79012345679012,40.123456790123456,24.074074074074073,13.580246913580247,34.5679012345679,49.382716049382715,25.308641975308642,0.0
113523,Peter,Agius,European People’s Party,EPP,86,68,8,162,53.086419753086425,95.06172839506173,Malta,53.086419753086425,51.85185185185185,48.76543209876543,41.358024691358025,22.839506172839506,12.962962962962962,32.71604938271605,41.9753086419753,24.691358024691358,0.0
197403,Alex,Agius Saliba,Progressive Alliance of Socialists and Democrats,SD,542,1120,182,1844,29.392624728850326,90.13015184381779,Malta,27.81995661605206,29.067245119305856,29.392624728850326,21.312364425162688,21.908893709327547,1.4099783080260302,21.529284164859003,25.59652928416486,2.4945770065075923,11.876355748373102
197400,Abir,Al-Sahlani,Renew Europe,RENEW,594,1185,65,1844,32.21258134490238,96.47505422993493,Sweden,32.15835140997831,32.21258134490238,31.453362255965295,23.861171366594363,23.752711496746205,1.5184381778741864,22.288503253796097,27.386117136659436,2.0607375271149677,13.123644251626898
256956,Galato,Alexandraki,European Conservatives and Reformists,ECR,31,70,61,162,19.1358024691358,62.34567901234568,Greece,3.7037037037037033,6.172839506172839,6.790123456790123,19.1358024691358,17.901234567901234,22.839506172839506,14.19753086419753,9.25925925925926,18.51851851851852,0.0
256869,Grégory,Allione,Renew Europe,RENEW,91,54,17,162,56.17283950617284,89.50617283950618,France,54.32098765432099,56.17283950617284,55.55555555555556,40.74074074074074,24.074074074074073,13.580246913580247,33.33333333333333,48.148148148148145,25.925925925925924,0.0
256858,Nikolaos,Anadiotis,Non-attached Members,NI,55,88,19,162,33.95061728395062,88.27160493827161,Greece,11.11111111111111,14.814814814814813,16.049382716049383,25.925925925925924,33.95061728395062,35.18518518518518,19.1358024691358,16.049382716049383,33.95061728395062,0.0
197475,Christine,Anderson,Europe of Sovereign Nations,ESN,395,1158,291,1844,21.420824295010846,84.21908893709328,Germany,6.832971800433839,6.453362255965294,6.616052060737528,10.954446854663773,10.84598698481562,5.151843817787419,8.188720173535792,6.724511930585683,3.5791757049891544,16.268980477223426
256805,Li,Andersson,The Left in the European Parliament – GUE/NGL,GUE_NGL,78,73,11,162,48.148148148148145,93.20987654320987,Finland,36.41975308641975,40.123456790123456,42.592592592592595,32.098765432098766,29.01234567901235,16.666666666666664,48.148148148148145,47.53086419753087,23.456790123456788,0.0
197448,Rasmus,Andresen,Greens/European Free Alliance,GREEN_EFA,677,1137,30,1844,36.713665943600866,98.37310195227765,Germany,29.77223427331887,31.724511930585685,32.10412147505423,22.66811279826464,25.271149674620393,1.13882863340564,28.524945770065074,36.713665943600866,1.9522776572668112,12.364425162689804
204332,Barry,Andrews,Renew Europe,RENEW,657,1127,60,1844,35.62906724511931,96.74620390455532,Ireland,34.32754880694143,35.62906724511931,34.76138828633405,24.783080260303688,25.813449023861175,1.3015184381778742,24.67462039045553,30.2060737527115,2.1691973969631237,13.449023861171366
119652,Vytenis Povilas,Andriukaitis,Progressive Alliance of Socialists and Democrats,SD,92,66,4,162,56.79012345679012,97.53086419753086,Lithuania,51.85185185185185,54.32098765432099,56.79012345679012,37.65432098765432,23.456790123456788,12.345679012345679,35.18518518518518,48.148148148148145,23.456790123456788,0.0
197691,Mathilde,Androuët,Patriots for Europe,PFE,546,1127,171,1844,29.609544468546638,90.72668112798264,France,14.804772234273319,14.587852494577005,14.533622559652928,18.383947939262473,18.709327548806943,3.308026030368764,14.533622559652928,13.286334056399133,4.4468546637744035,25.16268980477224
202073,Marc,Angel,Progressive Alliance of Socialists and Democrats,SD,638,1124,82,1844,34.598698481561826,95.5531453362256,Luxembourg,31.887201735357916,33.568329718004335,34.598698481561826,23.2646420824295,24.5119305856833,1.3015184381778742,24.620390455531453,29.718004338394792,2.27765726681128,12.364425162689804
124973,Gerolf,Annemans,Patriots for Europe,PFE,484,1268,92,1844,26.247288503253795,95.01084598698482,Belgium,11.550976138828634,11.171366594360087,11.33405639913232,16.323210412147503,15.509761388286334,2.711496746203905,12.418655097613883,11.062906724511931,3.470715835140998,22.7765726681128
257123,Lucia,Annunziata,Progressive Alliance of Socialists and Democrats,SD,75,50,37,162,46.2962962962963,77.1604938271605,Italy,41.358024691358025,43.20987654320987,46.2962962962963,31.48148148148148,21.604938271604937,11.11111111111111,29.01234567901235,38.88888888888889,20.98765432098765,0.0
257138,Giuseppe,Antoci,The Left in the European Parliament – GUE/NGL,GUE_NGL,71,70,21,162,43.82716049382716,87.03703703703704,Italy,27.160493827160494,30.864197530864196,33.95061728395062,27.77777777777778,27.77777777777778,17.28395061728395,43.82716049382716,35.18518518518518,22.22222222222222,0.0
96808,Pablo,Arias Echeverría,European People’s Party,EPP,629,1115,100,1844,34.11062906724512,94.57700650759219,Spain,34.11062906724512,32.80911062906725,32.15835140997831,24.783080260303688,24.566160520607376,1.193058568329718,22.722342733188718,27.711496746203906,2.0065075921908893,13.286334056399133
24922,Pascal,Arimont,European People’s Party,EPP,631,1193,20,1844,34.219088937093275,98.91540130151843,Belgium,34.219088937093275,34.924078091106296,34.490238611713664,25.704989154013013,25.813449023861175,1.3557483731019524,25.0,30.36876355748373,2.4403470715835143,13.828633405639914
256829,Sakis,Arnaoutoglou,Progressive Alliance of Socialists and Democrats,SD,95,64,3,162,58.64197530864198,98.14814814814815,Greece,52.46913580246913,55.55555555555556,58.64197530864198,40.74074074074074,25.925925925925924,15.432098765432098,37.03703703703704,50.0,27.77777777777778,0.0
256951,Anja,Arndt,Europe of Sovereign Nations,ESN,89,65,8,162,54.93827160493827,95.06172839506173,Germany,12.962962962962962,13.580246913580247,13.580246913580247,21.604938271604937,35.80246913580247,54.93827160493827,18.51851851851852,12.345679012345679,40.123456790123456,0.0
197701,Konstantinos,Arvanitis,The Left in the European Parliament – GUE/NGL,GUE_NGL,358,1065,421,1844,19.414316702819956,77.16919739696311,Greece,16.16052060737527,17.407809110629067,17.733188720173533,12.960954446854664,15.02169197396963,1.13882863340564,19.414316702819956,18.600867678958785,1.6268980477223427,7.37527114967462
197492,Bartosz,Arłukowicz,European People’s Party,EPP,294,1036,46,1376,21.36627906976744,96.65697674418605,Poland,21.36627906976744,20.421511627906977,19.98546511627907,16.061046511627907,13.80813953488372,1.88953488372093,14.825581395348838,18.459302325581394,3.0523255813953485,6.468023255813954
257015,Jaume,Asens Llodrà,Greens/European Free Alliance,GREEN_EFA,86,73,3,162,53.086419753086425,98.14814814814815,Spain,40.123456790123456,43.82716049382716,46.2962962962963,33.95061728395062,31.48148148148148,16.049382716049383,45.67901234567901,53.086419753086425,24.691358024691358,0.0
28307,Francisco,Assis,Progressive Alliance of Socialists and Democrats,SD,99,63,0,162,61.111111111111114,100.0,Portugal,53.70370370370371,56.79012345679012,61.111111111111114,41.358024691358025,26.543209876543212,14.814814814814813,38.88888888888889,52.46913580246913,26.543209876543212,0.0
