party,vote_id,procedure_type,timestamp,num_for,num_against,num_abstention,num_no_votes,total_votes,majority_col,majority_votes,percent_dissent,year,month,quarter,time_index
ECR,115399,INI,2020-06-18 12:56:33.000,50,3,8,1,61,FOR,50,0.180327868852459,2020,6,2020Q2,1.0
EPP,115399,INI,2020-06-18 12:56:33.000,185,0,0,2,185,FOR,185,0.0,2020,6,2020Q2,2.0
GUE/NGL,115399,INI,2020-06-18 12:56:33.000,8,6,25,0,39,ABSTENTION,25,0.3589743589743589,2020,6,2020Q2,3.0
Greens/EFA,115399,INI,2020-06-18 12:56:33.000,65,0,0,2,65,FOR,65,0.0,2020,6,2020Q2,4.0
ID,115399,INI,2020-06-18 12:56:33.000,0,21,54,1,75,ABSTENTION,54,0.28,2020,6,2020Q2,5.0
Non-attached,115399,INI,2020-06-18 12:56:33.000,21,4,4,0,29,FOR,21,0.27586206896551724,2020,6,2020Q2,6.0
Renew,115399,INI,2020-06-18 12:56:33.000,98,0,0,0,98,FOR,98,0.0,2020,6,2020Q2,7.0
S&D,115399,INI,2020-06-18 12:56:33.000,145,0,0,1,145,FOR,145,0.0,2020,6,2020Q2,8.0
ECR,115400,RSP,2020-06-18 12:56:33.000,2,57,2,1,61,AGAINST,57,0.06557377049180324,2020,6,2020Q2,9.0
EPP,115400,RSP,2020-06-18 12:56:33.000,178,3,4,2,185,FOR,178,0.037837837837837784,2020,6,2020Q2,10.0
GUE/NGL,115400,RSP,2020-06-18 12:56:33.000,25,9,5,0,39,FOR,25,0.3589743589743589,2020,6,2020Q2,11.0
Greens/EFA,115400,RSP,2020-06-18 12:56:33.000,64,1,0,2,65,FOR,64,0.01538461538461533,2020,6,2020Q2,12.0
ID,115400,RSP,2020-06-18 12:56:33.000,3,43,29,1,75,AGAINST,43,0.42666666666666664,2020,6,2020Q2,13.0
Non-attached,115400,RSP,2020-06-18 12:56:33.000,19,5,5,0,29,FOR,19,0.3448275862068966,2020,6,2020Q2,14.0
