party,vote_id,procedure_type,timestamp,num_for,num_against,num_abstention,num_no_votes,total_votes,majority_col,majority_votes,percent_dissent,year,month,weekday,weekofyear
ECR,135091,RSO,2021-07-08 15:53:14.480,62,0,0,1,62,FOR,62,0.0,2021,7,3,27
EPP,135091,RSO,2021-07-08 15:53:14.480,173,0,0,5,173,FOR,173,0.0,2021,7,3,27
GUE/NGL,135091,RSO,2021-07-08 15:53:14.480,39,0,0,0,39,FOR,39,0.0,2021,7,3,27
Greens/EFA,135091,RSO,2021-07-08 15:53:14.480,71,0,0,2,71,FOR,71,0.0,2021,7,3,27
ID,135091,RSO,2021-07-08 15:53:14.480,67,3,0,1,70,FOR,67,0.0428571428571428,2021,7,3,27
Renew,135091,RSO,2021-07-08 15:53:14.480,98,0,0,0,98,FOR,98,0.0,2021,7,3,27
S&D,135091,RSO,2021-07-08 15:53:14.480,140,0,0,6,140,FOR,140,0.0,2021,7,3,27
ECR,135092,RSP,2021-07-08 15:53:14.480,1,0,0,0,1,FOR,1,0.0,2021,7,3,27
EPP,135092,RSP,2021-07-08 15:53:14.480,9,0,0,0,9,FOR,9,0.0,2021,7,3,27
GUE/NGL,135092,RSP,2021-07-08 15:53:14.480,1,0,0,0,1,FOR,1,0.0,2021,7,3,27
Greens/EFA,135092,RSP,2021-07-08 15:53:14.480,3,0,0,0,3,FOR,3,0.0,2021,7,3,27
ID,135092,RSP,2021-07-08 15:53:14.480,3,0,0,1,3,FOR,3,0.0,2021,7,3,27
Renew,135092,RSP,2021-07-08 15:53:14.480,4,0,0,0,4,FOR,4,0.0,2021,7,3,27
S&D,135092,RSP,2021-07-08 15:53:14.480,8,0,0,0,8,FOR,8,0.0,2021,7,3,27
ECR,135148,COD,2021-09-13 21:08:45.000,38,23,1,1,62,FOR,38,0.3870967741935484,2021,9,0,37
EPP,135148,COD,2021-09-13 21:08:45.000,176,0,0,3,176,FOR,176,0.0,2021,9,0,37
GUE/NGL,135148,COD,2021-09-13 21:08:45.000,25,7,6,1,38,FOR,25,0.3421052631578947,2021,9,0,37
Greens/EFA,135148,COD,2021-09-13 21:08:45.000,67,3,0,3,70,FOR,67,0.0428571428571428,2021,9,0,37
ID,135148,COD,2021-09-13 21:08:45.000,69,1,0,1,70,FOR,69,0.0142857142857142,2021,9,0,37
Renew,135148,COD,2021-09-13 21:08:45.000,97,0,0,1,97,FOR,97,0.0,2021,9,0,37
S&D,135148,COD,2021-09-13 21:08:45.000,141,0,0,5,141,FOR,141,0.0,2021,9,0,37
ECR,135150,COD,2021-09-15 15:22:30.000,59,4,0,0,63,FOR,59,0.0634920634920634,2021,9,2,37
EPP,135150,COD,2021-09-15 15:22:30.000,164,13,0,2,177,FOR,164,0.0734463276836158,2021,9,2,37
GUE/NGL,135150,COD,2021-09-15 15:22:30.000,37,0,0,2,37,FOR,37,0.0,2021,9,2,37
Greens/EFA,135150,COD,2021-09-15 15:22:30.000,70,0,0,3,70,FOR,70,0.0,2021,9,2,37
ID,135150,COD,2021-09-15 15:22:30.000,56,5,10,0,71,FOR,56,0.2112676056338028,2021,9,2,37
Renew,135150,COD,2021-09-15 15:22:30.000,92,6,0,0,98,FOR,92,0.0612244897959183,2021,9,2,37
S&D,135150,COD,2021-09-15 15:22:30.000,143,0,0,3,143,FOR,143,0.0,2021,9,2,37
ECR,135154,COD,2021-09-15 15:22:30.000,35,11,17,0,63,FOR,35,0.4444444444444444,2021,9,2,37
EPP,135154,COD,2021-09-15 15:22:30.000,175,2,0,2,177,FOR,175,0.0112994350282485,2021,9,2,37
GUE/NGL,135154,COD,2021-09-15 15:22:30.000,32,2,3,2,37,FOR,32,0.1351351351351351,2021,9,2,37
Greens/EFA,135154,COD,2021-09-15 15:22:30.000,70,0,0,3,70,FOR,70,0.0,2021,9,2,37
ID,135154,COD,2021-09-15 15:22:30.000,0,71,0,0,71,AGAINST,71,0.0,2021,9,2,37
Renew,135154,COD,2021-09-15 15:22:30.000,93,0,5,0,98,FOR,93,0.0510204081632652,2021,9,2,37
S&D,135154,COD,2021-09-15 15:22:30.000,136,0,4,6,140,FOR,136,0.0285714285714285,2021,9,2,37
ECR,135497,COD,2021-09-15 15:22:30.000,63,0,0,0,63,FOR,63,0.0,2021,9,2,37
EPP,135497,COD,2021-09-15 15:22:30.000,177,0,0,2,177,FOR,177,0.0,2021,9,2,37
GUE/NGL,135497,COD,2021-09-15 15:22:30.000,37,0,0,2,37,FOR,37,0.0,2021,9,2,37
Greens/EFA,135497,COD,2021-09-15 15:22:30.000,70,0,0,3,70,FOR,70,0.0,2021,9,2,37
ID,135497,COD,2021-09-15 15:22:30.000,67,2,2,0,71,FOR,67,0.0563380281690141,2021,9,2,37
Renew,135497,COD,2021-09-15 15:22:30.000,98,0,0,0,98,FOR,98,0.0,2021,9,2,37
S&D,135497,COD,2021-09-15 15:22:30.000,143,0,0,3,143,FOR,143,0.0,2021,9,2,37
ECR,135560,DEA,2021-09-15 22:38:59.000,0,62,0,1,62,AGAINST,62,0.0,2021,9,2,37
EPP,135560,DEA,2021-09-15 22:38:59.000,6,165,4,4,175,AGAINST,165,0.0571428571428571,2021,9,2,37
GUE/NGL,135560,DEA,2021-09-15 22:38:59.000,32,4,0,3,36,FOR,32,0.1111111111111111,2021,9,2,37
Greens/EFA,135560,DEA,2021-09-15 22:38:59.000,69,0,0,4,69,FOR,69,0.0,2021,9,2,37
ID,135560,DEA,2021-09-15 22:38:59.000,0,70,0,1,70,AGAINST,70,0.0,2021,9,2,37
Renew,135560,DEA,2021-09-15 22:38:59.000,5,90,3,0,98,AGAINST,90,0.0816326530612244,2021,9,2,37
S&D,135560,DEA,2021-09-15 22:38:59.000,76,45,20,5,141,FOR,76,0.4609929078014184,2021,9,2,37
ECR,135561,INI,2021-09-15 22:38:59.000,55,1,5,2,61,FOR,55,0.0983606557377049,2021,9,2,37
EPP,135561,INI,2021-09-15 22:38:59.000,174,0,0,5,174,FOR,174,0.0,2021,9,2,37
GUE/NGL,135561,INI,2021-09-15 22:38:59.000,1,13,23,2,37,ABSTENTION,23,0.3783783783783784,2021,9,2,37
Greens/EFA,135561,INI,2021-09-15 22:38:59.000,66,1,2,4,69,FOR,66,0.0434782608695651,2021,9,2,37
ID,135561,INI,2021-09-15 22:38:59.000,26,38,6,1,70,AGAINST,38,0.4571428571428572,2021,9,2,37
Renew,135561,INI,2021-09-15 22:38:59.000,98,0,0,0,98,FOR,98,0.0,2021,9,2,37
S&D,135561,INI,2021-09-15 22:38:59.000,136,2,1,7,139,FOR,136,0.0215827338129496,2021,9,2,37
ECR,135564,NLE,2021-09-15 22:38:59.000,1,14,47,1,62,ABSTENTION,47,0.2419354838709677,2021,9,2,37
EPP,135564,NLE,2021-09-15 22:38:59.000,173,0,2,4,175,FOR,173,0.0114285714285714,2021,9,2,37
GUE/NGL,135564,NLE,2021-09-15 22:38:59.000,16,3,18,2,37,ABSTENTION,18,0.5135135135135135,2021,9,2,37
Greens/EFA,135564,NLE,2021-09-15 22:38:59.000,69,0,0,4,69,FOR,69,0.0,2021,9,2,37
ID,135564,NLE,2021-09-15 22:38:59.000,1,69,0,1,70,AGAINST,69,0.0142857142857142,2021,9,2,37
Renew,135564,NLE,2021-09-15 22:38:59.000,73,0,25,0,98,FOR,73,0.2551020408163265,2021,9,2,37
S&D,135564,NLE,2021-09-15 22:38:59.000,141,0,0,5,141,FOR,141,0.0,2021,9,2,37
ECR,135565,INI,2021-09-15 22:38:59.000,3,15,44,1,62,ABSTENTION,44,0.2903225806451612,2021,9,2,37
EPP,135565,INI,2021-09-15 22:38:59.000,166,0,9,4,175,FOR,166,0.0514285714285713,2021,9,2,37
GUE/NGL,135565,INI,2021-09-15 22:38:59.000,35,0,2,2,37,FOR,35,0.054054054054054,2021,9,2,37
Greens/EFA,135565,INI,2021-09-15 22:38:59.000,69,0,0,4,69,FOR,69,0.0,2021,9,2,37
ID,135565,INI,2021-09-15 22:38:59.000,0,19,51,1,70,ABSTENTION,51,0.2714285714285714,2021,9,2,37
Renew,135565,INI,2021-09-15 22:38:59.000,83,0,15,0,98,FOR,83,0.1530612244897958,2021,9,2,37
S&D,135565,INI,2021-09-15 22:38:59.000,140,0,1,5,141,FOR,140,0.0070921985815602,2021,9,2,37
ECR,135573,COD,2021-09-15 15:22:30.000,54,6,3,0,63,FOR,54,0.1428571428571429,2021,9,2,37
EPP,135573,COD,2021-09-15 15:22:30.000,177,0,0,2,177,FOR,177,0.0,2021,9,2,37
GUE/NGL,135573,COD,2021-09-15 15:22:30.000,34,0,3,2,37,FOR,34,0.081081081081081,2021,9,2,37
Greens/EFA,135573,COD,2021-09-15 15:22:30.000,66,0,4,3,70,FOR,66,0.0571428571428571,2021,9,2,37
ID,135573,COD,2021-09-15 15:22:30.000,0,71,0,0,71,AGAINST,71,0.0,2021,9,2,37
Renew,135573,COD,2021-09-15 15:22:30.000,96,0,2,0,98,FOR,96,0.0204081632653061,2021,9,2,37
S&D,135573,COD,2021-09-15 15:22:30.000,143,0,0,3,143,FOR,143,0.0,2021,9,2,37
ECR,135575,COD,2021-09-15 15:22:30.000,49,6,8,0,63,FOR,49,0.2222222222222222,2021,9,2,37
EPP,135575,COD,2021-09-15 15:22:30.000,176,0,1,2,177,FOR,176,0.0056497175141242,2021,9,2,37
GUE/NGL,135575,COD,2021-09-15 15:22:30.000,31,2,4,2,37,FOR,31,0.1621621621621621,2021,9,2,37
Greens/EFA,135575,COD,2021-09-15 15:22:30.000,70,0,0,3,70,FOR,70,0.0,2021,9,2,37
ID,135575,COD,2021-09-15 15:22:30.000,0,70,1,0,71,AGAINST,70,0.0140845070422535,2021,9,2,37
Renew,135575,COD,2021-09-15 15:22:30.000,98,0,0,0,98,FOR,98,0.0,2021,9,2,37
S&D,135575,COD,2021-09-15 15:22:30.000,142,0,1,3,143,FOR,142,0.0069930069930069,2021,9,2,37
ECR,135745,INL,2021-09-16 12:01:44.000,1,44,18,0,63,AGAINST,44,0.3015873015873016,2021,9,3,37
EPP,135745,INL,2021-09-16 12:01:44.000,75,11,86,7,172,ABSTENTION,86,0.5,2021,9,3,37
GUE/NGL,135745,INL,2021-09-16 12:01:44.000,34,0,2,3,36,FOR,34,0.0555555555555555,2021,9,3,37
Greens/EFA,135745,INL,2021-09-16 12:01:44.000,71,0,0,2,71,FOR,71,0.0,2021,9,3,37
ID,135745,INL,2021-09-16 12:01:44.000,0,45,25,1,70,AGAINST,45,0.3571428571428571,2021,9,3,37
Renew,135745,INL,2021-09-16 12:01:44.000,93,1,4,0,98,FOR,93,0.0510204081632652,2021,9,3,37
S&D,135745,INL,2021-09-16 12:01:44.000,139,1,0,6,140,FOR,139,0.0071428571428571,2021,9,3,37
ECR,135747,RSP,2021-09-16 15:48:43.000,62,0,0,1,62,FOR,62,0.0,2021,9,3,37
EPP,135747,RSP,2021-09-16 15:48:43.000,174,0,0,5,174,FOR,174,0.0,2021,9,3,37
GUE/NGL,135747,RSP,2021-09-16 15:48:43.000,0,36,2,1,38,AGAINST,36,0.0526315789473684,2021,9,3,37
Greens/EFA,135747,RSP,2021-09-16 15:48:43.000,3,66,0,4,69,AGAINST,66,0.0434782608695651,2021,9,3,37
ID,135747,RSP,2021-09-16 15:48:43.000,57,3,10,1,70,FOR,57,0.1857142857142857,2021,9,3,37
Renew,135747,RSP,2021-09-16 15:48:43.000,97,0,1,0,98,FOR,97,0.010204081632653,2021,9,3,37
S&D,135747,RSP,2021-09-16 15:48:43.000,18,27,96,5,141,ABSTENTION,96,0.3191489361702128,2021,9,3,37
ECR,135748,RSP,2021-09-16 15:48:43.000,5,5,52,1,62,ABSTENTION,52,0.1612903225806451,2021,9,3,37
EPP,135748,RSP,2021-09-16 15:48:43.000,10,0,164,5,174,ABSTENTION,164,0.0574712643678161,2021,9,3,37
GUE/NGL,135748,RSP,2021-09-16 15:48:43.000,35,1,2,1,38,FOR,35,0.0789473684210526,2021,9,3,37
