mep_id,name,european_group
96834,Iliana IVANOVA,
573,Pierre BILLOTTE,
1344,Carles-Alfred GASÒLIBA I BÖHM,
257092,Hanna GEDIN,
622,Arthur GAILLY,
34482,Alexandru-Ioan MORȚUN,
233862,Matjaž NEMEC,
257102,Giorgio GORI,
80,Frank TOMNEY,
28175,Yannick VAUGRENARD,
1435,(Paddy) Patrick Joseph LALOR,
257135,Valentina PALMISANO,
97017,Ulrike LUNACEK,
111011,Anthea MCINTYRE,
124830,Marcus PRETZELL,
679,Hughes TATILON,
28240,Helga TRÜPEL,
96898,Ioannis A. TSOUKALAS,
4462,Clemente MASTELLA,
28573,Nikolaos VAKALIS,
34174,Iles BRAGHETTO,
2216,Françoise SEILLIER,
325,Hermann KOPF,
261797,Christophe BAY,
2232,Axel SCHÄFER,
124695,Jan KELLER,
1723,Robert CHAMBEIRON,
28617,Inese VAIDERE,
28359,Jana BOBOŠÍKOVÁ,
1024,Alain MADELIN,
1199,José Manuel TORRES COUTO,
89,Alain SAVARY,
94,Wolfgang SCHWABE,
1791,Francisco Pinto BALSEMÃO,
955,Vassilis EPHREMIDIS,
197499,Chrysoula ZACHAROPOULOU,
907,Gaetano CINGARI,
693,Alphonsine M.J. PHLIX,
1853,Albert KOSLER,
473,Roberto CANTALUPO,
28508,Alyn SMITH,
4391,Silvio BERLUSCONI,
256889,Liesbet SOMMEN,
257101,Cecilia STRADA,
807,Ioannis KATSAFADOS,
257095,Elena DONAZZAN,
197461,Katrin LANGENSIEPEN,
4306,Gilles SAVARY,
36394,Donato Tommaso VERALDI,
185340,Ivica TOLIĆ,
197636,Ioan-Rareş BOGDAN,
1075,Klaus-Peter KÖHLER,
190713,Lukas MANDL,
22282,Ole B. SØRENSEN,
2336,Gaetano CARROZZO,
191693,Elsi KATAINEN,
204443,Clara PONSATÍ OBIOLS,
1792,Fritz GAUTIER,
4250,Michel HANSENNE,
1500,Jef L.E. ULBURGHS,
256859,Annamária VICSEK,
1193,Robert E.V. HERSANT,
28921,Jaroslav ZVĚŘINA,
2113,Andrea MANZELLA,
36390,Armando VENETO,
831,The Lord HARMAR-NICHOLLS,
457,Marius J.J. VAN AMELSVOORT,
1450,Florus A. WIJSENBEEK,
109,Camillo RIPAMONTI,
1692,André FOURÇANS,
1889,Jürgen BRAND,
96989,Andrés PERELLÓ RODRÍGUEZ,
330,Hellmut KALBITZER,
36396,Gianluca SUSTA,
275,Jean LAURAIN,
297,Alexander FLETCHER,
1748,Chrysanthos DIMITRIADIS,
1569,Olivier LEFEVRE D'ORMESSON,
197584,Sándor RÓNAI,
4527,John BOWIS,
1078,Karl PARTSCH,
96887,Francesco DE ANGELIS,
485,Willy DONDELINGER,
2098,Erhard MEIER,
1468,Pol M.E.E. MARCK,
1182,Solange FERNEX,
4242,Karin SCHEELE,
4490,Minerva Melpomeni MALLIORI,
1765,Dimitrios ADAMOU,
28227,Anja WEISGERBER,
4252,Raina A. Mercedes ECHERER,
2114,Per GAHRTON,
23805,Zita GURMAI,
28587,Georgios KARATZAFERIS,
1817,Anne ANDRÉ-LÉONARD,
23938,John ATTARD-MONTALTO,
256903,Thomas PELLERIN-CARLIN,
129073,Urmas PAET,
206,Jacques L.G. VAN OFFELEN,
587,Heinrich VON BRENTANO,
1028,Philippe J.G. DOUSTE-BLAZY,
1183,Dagmar ROTH-BEHRENDT,
2100,Andrea Carmine DE SIMONE,
486,Jean BECH,
2180,Stylianos PANAGOPOULOS,
967,Gérard R.P. FUCHS,
28221,Thomas ULMER,
96900,Georgios PAPANIKOLAOU,
42,Louis TERRENOIRE,
4360,Marie-Françoise GARAUD,
113959,Martina ANDERSON,
1292,Paul A.A.J.G. LANNOYE,
1874,José APOLINÁRIO,
113,Henri ROCHEREAU,
124964,Louise BOURS,
4357,Hervé NOVELLI,
256908,François KALFON,
1365,António Joaquim MARQUES MENDES,
257144,Paolo INSELVINI,
96847,Claudiu Ciprian TĂNĂSESCU,
2243,Odile LEPERRE-VERRIER,
197531,Gwendoline DELBOS-CORFIELD,
33570,Sharon BOWLES,
799,Jean A.F. LECANUET,
2151,Tommy WAIDELICH,
23873,Sergej KOZLÍK,
97022,Robert ROCHEFORT,
2102,Pierluigi CASTAGNETTI,
124796,David BORRELLI,
1525,Giuseppe SCHIAVINATO,
188636,John HOWARTH,
197570,Peter KOFOD,
197612,Annunziata Mary REES-MOGG,
34253,Maria CAPPONE,
1753,Michelangelo CIANCAGLINI,
1869,Aline ARCHIMBAUD,
1797,Jochen van AERSSEN,
12,G. VIXSEBOXSE,
96842,Ismail ERTUG,
4461,Luís QUEIRÓ,
2115,Holger GUSTAFSSON,
28370,Vittorio PRODI,
28161,Margrete AUKEN,
581,Walter ECKHARDT,
1935,Wolfgang KREISSL-DÖRFLER,
197773,Bert-Jan RUISSEN,
23894,Anna ZÁBORSKÁ,
197621,Juan Ignacio ZOIDO ÁLVAREZ,
93543,Andrzej WIELOWIEYSKI,
28497,Gerard BATTEN,
96879,Hella RANNER,
996,Francesco CORLEONE,
96824,Monica MACOVEI,
257042,Marcin KIERWIŃSKI,
125090,Sotirios ZARIANOPOULOS,
124928,Richard SULÍK,
198183,Mihai TUDOSE,
1488,Rudolf WEDEKIND,
938,Gaetano ARFE',
140,G.M. NEDERHORST,
124808,Norbert LINS,
1960,Luis SÁ,
28437,Riccardo VENTRE,
96998,Evelyn REGNER,
623,Lucien R.J.G. HARMEGNIES,
197760,Martin Edward DAUBNEY,
2337,Ozan CEYHUN,
758,Charles-Ferdinand NOTHOMB,
28362,Jaime MAYOR OREJA,
789,Erwin LANGE,
33946,Andrzej Tomasz ZAPAŁOWSKI,
857,Dimitrios FRANGOS,
23701,Vladimír LAŠTŮVKA,
1573,Jørgen Brøndlund NIELSEN,
4444,António José SEGURO,
2131,Monica Stefania BALDI,
1293,Karel A.H.A.M. PINXTEN,
22418,Esther HERRANZ GARCÍA,
256878,Marie-Luce BRASIER-CLAIN,
33978,Cristian DUMITRESCU,
34233,Iglika IVANOVA,
256899,Murielle LAURENT,
197576,Sylvie BRUNET,
82,Leopoldo RUBINACCI,
404,John BREWIS,
1961,Jean GOL,
257296,Nina CARBERRY,
124960,Ian DUNCAN,
125024,Barbara KAPPEL,
96701,María MUÑIZ DE URQUIZA,
987,Nicolas ESTGEN,
4305,Lennart SACRÉDEUS,
197551,Stéphane BIJOUX,
97004,Ivars GODMANIS,
28381,João de Deus PINHEIRO,
635,Albert DE GRYSE,
4433,Stefano ZAPPALA',
1571,Wolfgang VON NOSTITZ,
756,Harry A.C.M. NOTENBOOM,
350,Helmut KATER,
1647,Vincenzo GIUMMARRA,
4290,Emilia Franziska MÜLLER,
124784,Dan NICA,
313,Tarcisio LONGONI,
625,Jean DUVIEUSART,
28194,Ambroise GUELLEC,
197403,Alex AGIUS SALIBA,
1320,Xavier RUBERT DE VENTÓS,
257121,Matteo RICCI,
59,Willem SCHOLTEN,
929,Fernand BODEN,
2296,Sirkka-Liisa ANTTILA,
2172,Angela Theodora BILLINGHAM,
204418,Nora MEBAREK,
388,Raffaele GUARIGLIA,
524,François DUVAL,
652,Anne VONDELING,
850,Vincenzo GATTO,
1105,Franco IACONO,
92,Hermann SPILLECKE,
96950,Liem HOANG NGOC,
96815,Judith SARGENTINI,
251859,Guy LAVOCAT,
294,Hans LAUTENSCHLAGER,
124758,Mylène TROSZCZYNSKI,
256839,Anna STÜRGKH,
1533,Walter ROSA,
1315,Alan John DONNELLY,
1898,Erika MANN,
356,Maarten Boudewijn ENGWIRDA,
707,Casimir J. Prinz zu SAYN-WITTGENSTEIN-BERLEBURG,
124869,Gianluca BUONANNO,
125035,Lola SÁNCHEZ CALDENTEY,
124883,Krystyna ŁYBACKA,
197492,Bartosz ARŁUKOWICZ,
1688,Anne-Marie A. LIZIN,
341,Wilhelm DE GAAY FORTMAN,
23707,Libor ROUČEK,
197781,Malik AZMANI,
197675,Sarah WIENER,
349,Hans Edgar JAHN,
1035,Charles E. BAUR,
97002,Christophe BÉCHU,
2325,Luciano SCHIFONE,
257023,Per CLAUSEN,
1178,Christine Margaret ODDY,
23746,Vytautas LANDSBERGIS,
256888,Rody TOLASSY,
641,Gustaaf BREYNE,
197441,Predrag Fred MATIĆ,
96639,Isabelle DURANT,
952,Aymeri DE MONTESQUIOU FEZENSAC,
4528,Neil PARISH,
26621,Jacqueline ROUSSEAUX,
1311,Gary TITLEY,
633,Roger DE KINDER,
251324,Krzysztof BREJZA,
257099,Francesco VENTOLA,
867,Mauro FERRI,
460,Libero DELLA BRIOTTA,
2314,Olivier DUHAMEL,
761,David Lancaster NICOLSON,
256938,Tobias CREMER,
1715,Lionel JOSPIN,
96931,Maurice PONGA,
5689,Brigitte WENZEL-PERILLO,
28224,Markus PIEPER,
188622,Rupert MATTHEWS,
1264,Ingo FRIEDRICH,
1403,David MARTIN,
28199,Gábor HARANGOZÓ,
124876,Rikke-Louise KARLSSON,
23847,Luděk SEFZIG,
96899,José Manuel FERNANDES,
96784,Janusz ZEMKE,
28320,Ivo STREJČEK,
4488,Petros EFTHYMIOU,
124734,Cláudia MONTEIRO DE AGUIAR,
4443,Mário SOARES,
96830,Enikő GYŐRI,
1549,Luis Guillermo PERINAT ELIO,
476,Hans FURLER,
197798,Lucia VUOLO,
198490,Emmanouil FRAGKOS,
1057,Claudia ROTH,
23690,Miroslav BENEŠ,
124851,Nicola CAPUTO,
136,Schelto PATIJN,
28329,Pier Luigi BERSANI,
96776,Róża THUN UND HOHENSTEIN,
143,Georges PIANTA,
4281,Jürgen ZIMMERLING,
197788,Anna BONFRISCO,
28170,Peter ŠŤASTNÝ,
38847,Catherine NERIS,
1796,Jean E. CRUSOL,
478,Børge HALVGAARD,
951,Nicolas ALFONSI,
4341,Hugues MARTIN,
1506,Frederick A. TUCKMAN,
28230,Vural ÖGER,
96999,Alexander MIRSKY,
753,Kjeld OLESEN,
2082,Mark Francis WATTS,
257097,Alberico GAMBINO,
197589,Laurence FARRENG,
26829,Siiri OVIIR,
1421,Peter BEAZLEY,
1146,John C.C. STEVENS,
28148,Françoise CASTEX,
124,Heinrich SCHILD,
379,Heinrich IMIG,
4457,Fernando REIS,
2160,João SOARES,
96884,Philippe JUVIN,
23740,Mindaugas BASTYS,
38606,Mariela Velichkova BAEVA,
185619,Tiemo WÖLKEN,
899,Yannis COUTSOCHERAS,
28116,Marian HARKIN,
503,Franco BOIARDI,
1085,Pierre CARNITI,
5956,Regina BASTOS,
197667,Barbara THALER,
110984,Joseph CUSCHIERI,
1623,Claus TOKSVIG,
458,Antonio DANIELE,
1329,Juan de Dios RAMÍREZ HEREDIA,
33995,Silvia CIORNEI,
121,Cristoforo RICCI,
1860,Peter THIETZ,
586,Hans DICHGANS,
945,Nicole FONTAINE,
1336,Eduardo PUNSET I CASALS,
28422,Alfredo ANTONIOZZI,
38542,Johan DANIELSSON,
96805,Paul NUTTALL,
552,Jean-Eric BOUSCH,
28127,Lena EK,
188718,Christelle LETARD-LECHEVALIER,
28129,Inger SEGELSTRÖM,
2229,Bernd POSSELT,
111018,Salvador SEDÓ I ALABART,
28862,Lydie POLFER,
1359,José ÁLVAREZ DE PAZ,
239262,Elisabetta DE BLASIS,
1147,José Ramón CASO GARCIA,
23759,Grażyna  Jolanta CIEMNIAK,
97236,Marie TOUSSAINT,
4324,François BAYROU,
197749,Caroline VOADEN,
220871,Rihards KOLS,
304,Ernest Alan FITCH,
197490,Magdalena ADAMOWICZ,
97078,Ramón JÁUREGUI ATONDO,
504,Paolo BONOMI,
739,Eggert PETERSEN,
337,John EVANS,
936,Gustave ANSART,
4283,Kurt LECHNER,
124586,Balázs HIDVÉGHI,
132366,Pirkko RUOHONEN-LERNER,
96802,Jacek WŁOSOWICZ,
197681,Sira REGO,
956,Leo C. TINDEMANS,
23778,Jan Walenty TOMAKA,
937,Vincent F.M. ANSQUER,
1195,Jacques VERNIER,
96707,Ágnes HANKISS,
2126,Kyösti TOIVONEN,
257034,Carmen CRESPO DÍAZ,
2265,MaLou LINDHOLM,
859,Renzo Eligio FILIPPI,
96654,Jaroslav PAŠKA,
4431,Francesco RUTELLI,
23785,Andrzej GRZYB,
2064,Eryl Margaret MCNALLY,
124899,Andrzej DUDA,
124994,Max ANDERSSON,
28134,Eva-Britt SVENSSON,
667,Daniel J.E. VIÉ,
1963,Peter PEX,
2230,Nuala AHERN,
163,Giuseppe PELLA,
1219,José María GIL-ROBLES GIL-DELGADO,
23843,Alena PALEČKOVÁ,
28581,Evangelia TZAMPAZI,
397,Gilles GOZARD,
237779,Carina OHLSSON,
96799,Piotr BORYS,
838,Jean HAMILIUS,
96827,Birgit SCHNIEBER-JASTRAM,
96876,Frank ENGEL,
4333,Luis BERENGUER FUSTER,
1727,Pino ROMUALDI,
1308,Pauline GREEN,
2083,Aline PAILLER,
23787,Czesław Adam SIEKIERSKI,
1010,Giorgio LA MALFA,
25703,Cees BREMMER,
375,Kurt JUNG,
2185,Giorgos DIMITRAKOPOULOS,
23844,Paulis KĻAVIŅŠ,
1397,(Ben) George Benjamin PATTERSON,
79,Dick TAVERNE,
1190,María IZQUIERDO ROJO,
124795,Flavio TOSI,
1484,P.(Phili) J. VIEHOFF,
4314,Catherine GUY-QUINT,
28334,Urszula KRUPA,
183916,Alexandra GEESE,
424,Mario FIORET,
96676,Christian ENGSTRÖM,
1467,Fernand H.J. HERMAN,
197702,Lina GÁLVEZ,
28121,Joseph MUSCAT,
